home,away,close_time,pre_close_mid
GSW,POR,2025-12-15 04:50:14.185548+00:00,0.65
DET,BOS,2025-12-16 03:00:19.918994+00:00,0.525
TOR,MIA,2025-12-16 03:14:33.352664+00:00,0.655
DAL,UTA,2025-12-16 05:10:02.128462+00:00,0.525
HOU,DEN,2025-12-16 05:39:46.886369+00:00,0.495
MEM,LAC,2025-12-16 05:59:51.216237+00:00,0.645
CLE,CHI,2025-12-18 03:41:05.137345+00:00,0.345
MEM,MIN,2025-12-18 04:14:45.985537+00:00,0.3
ATL,CHA,2025-12-19 02:41:14.288085+00:00,0.645
NYK,IND,2025-12-19 02:44:59.016873+00:00,0.37
MIA,BKN,2025-12-19 03:10:58.143690+00:00,0.295
TOR,MIL,2025-12-19 04:00:45.363058+00:00,0.375
HOU,NOP,2025-12-19 04:05:15.159320+00:00,0.785
WAS,SAS,2025-12-19 04:11:03.230080+00:00,0.895
ORL,DEN,2025-12-19 04:34:39.007528+00:00,0.695
LAL,UTA,2025-12-19 05:01:24.294483+00:00,0.775
DET,DAL,2025-12-19 05:01:24.588679+00:00,0.395
GSW,PHX,2025-12-19 05:34:26.172128+00:00,0.555
SAC,POR,2025-12-19 06:14:32.398590+00:00,0.75
MIA,BOS,2025-12-20 02:44:36.584012+00:00,0.705
SAS,ATL,2025-12-20 02:50:15.214983+00:00,0.395
PHI,NYK,2025-12-20 02:54:29.847866+00:00,0.685
CHI,CLE,2025-12-20 03:04:30.010911+00:00,0.395
OKC,MIN,2025-12-20 05:29:42.660737+00:00,0.305
HOU,DEN,2025-12-21 00:50:25.343800+00:00,0.49
BOS,TOR,2025-12-21 02:34:54.593804+00:00,0.475
DAL,PHI,2025-12-21 02:34:54.669547+00:00,0.48
IND,NOP,2025-12-21 03:00:18.882957+00:00,0.44
CHA,DET,2025-12-21 03:30:21.984226+00:00,0.205
WAS,MEM,2025-12-21 03:44:34.702980+00:00,0.835
PHX,GSW,2025-12-21 04:24:31.507005+00:00,0.675
ORL,UTA,2025-12-21 05:44:28.861385+00:00,0.725
LAL,LAC,2025-12-21 06:14:34.795206+00:00,0.465
POR,SAC,2025-12-21 06:14:35.114902+00:00,0.605
CHI,ATL,2025-12-21 23:20:19.213981+00:00,0.615
TOR,BKN,2025-12-22 01:30:21.696679+00:00,0.405
MIA,NYK,2025-12-22 01:40:30.976484+00:00,0.285
MIL,MIN,2025-12-22 02:44:34.059086+00:00,0.165
HOU,SAC,2025-12-22 06:00:04.319568+00:00,0.83
IND,BOS,2025-12-23 03:00:38.499920+00:00,0.825
CHA,CLE,2025-12-23 03:00:39.393619+00:00,0.245
DAL,NOP,2025-12-23 03:39:46.090210+00:00,0.52
UTA,DEN,2025-12-23 04:44:31.129410+00:00,0.865
MEM,OKC,2025-12-23 05:09:41.840704+00:00,0.105
ORL,GSW,2025-12-23 05:44:28.622448+00:00,0.67
